list,title,doi,documentPage
https://dblp.org/rec/conf/ecai/Lhomme12,Practical Reformulations With Table Constraints.,https://doi.org/10.3233/978-1-61499-098-7-911,https://doi.org/10.3233/978-1-61499-098-7-911
https://dblp.org/rec/conf/ecai/Li0M23,Spectral Normalized-Cut Graph Partitioning with Fairness Constraints.,https://doi.org/10.3233/FAIA230416,https://doi.org/10.3233/FAIA230416
https://dblp.org/rec/conf/ecai/Li0PVH14,LTLf Satisfiability Checking.,https://doi.org/10.3233/978-1-61499-419-0-513,https://doi.org/10.3233/978-1-61499-419-0-513
https://dblp.org/rec/conf/ecai/Li0TWXZ23,Unsupervised Graph Structure-Assisted Personalized Federated Learning.,https://doi.org/10.3233/FAIA230421,https://doi.org/10.3233/FAIA230421
https://dblp.org/rec/conf/ecai/Li0XWWZ24,Talos: A More Effective and Efficient Adversarial Defense for GNN Models Based on the Global Homophily of Graphs.,https://doi.org/10.3233/FAIA240708,https://doi.org/10.3233/FAIA240708
https://dblp.org/rec/conf/ecai/LiAK14,Constrained Latent Dirichlet Allocation for Subgroup Discovery with Topic Rules.,https://doi.org/10.3233/978-1-61499-419-0-519,https://doi.org/10.3233/978-1-61499-419-0-519
https://dblp.org/rec/conf/ecai/LiangL23,A Model-Theoretic Approach to Belief Revision in Multi-Agent Belief Logic and Its Syntactic Characterizations.,https://doi.org/10.3233/FAIA230425,https://doi.org/10.3233/FAIA230425
https://dblp.org/rec/conf/ecai/LiangL98,Multi-strategy Local Search for SAT Problem.,,
https://dblp.org/rec/conf/ecai/LiangWBG24,Fully Hyperbolic Rotation for Knowledge Graph Embedding.,https://doi.org/10.3233/FAIA240668,https://doi.org/10.3233/FAIA240668
https://dblp.org/rec/conf/ecai/LiangZLZTC24,FedReMa: Improving Personalized Federated Learning via Leveraging the Most Relevant Clients.,https://doi.org/10.3233/FAIA240727,https://doi.org/10.3233/FAIA240727
https://dblp.org/rec/conf/ecai/LiangZZCZ024,A Hybrid Approach towards Chinese Spelling and Splitting Error Correction.,https://doi.org/10.3233/FAIA240952,https://doi.org/10.3233/FAIA240952
https://dblp.org/rec/conf/ecai/LiaoJD023,FBC: Fusing Bi-Encoder and Cross-Encoder for Long-Form Text Matching.,https://doi.org/10.3233/FAIA230426,https://doi.org/10.3233/FAIA230426
